timestamp,n_hands,gesture_pred,gesture_name,palm_x,palm_y,smooth_x,smooth_y,raw_vector_len,model_activated
96541.9950651,1,5,Move,0.022077901909748714,0.6959833304087321,1.0,0.0,63,False
96542.0453591,1,5,Move,0.022077901909748714,0.6959833304087321,0.6,0.3111111111111111,63,False
96542.0974703,1,5,Move,0.02639302983880043,0.6583943963050842,0.3604166666666667,0.4981481481481482,63,False
96542.1571713,1,5,Move,0.02639302983880043,0.6583943963050842,0.21666666666666667,0.5888888888888889,63,False
96542.2122937,1,5,Move,0.03290664652983347,0.629789133866628,0.13020833333333337,0.6435185185185185,63,False
96542.2819718,1,5,Move,0.041351817548274994,0.6207760870456696,0.078125,0.6601851851851852,63,False
96542.3522425,1,5,Move,0.041351817548274994,0.6207760870456696,0.046875,0.6648148148148149,63,False
96542.4195716,1,5,Move,0.09672180811564128,0.6566064258416494,0.028124999999999956,0.6675925925925926,63,False
96542.4968792,1,5,Move,0.09672180811564128,0.6566064258416494,0.017187500000000022,0.6898148148148148,63,False
96542.5695962,1,5,Move,0.09672180811564128,0.6566064258416494,0.01041666666666663,0.7027777777777777,63,False
96542.6458317,1,5,Move,0.09672180811564128,0.6566064258416494,0.006249999999999978,0.7101851851851851,63,False
96542.6918565,1,5,Move,0.09672180811564128,0.6566064258416494,0.004166666666666652,0.7148148148148148,63,False
96542.7610045,1,5,Move,0.09672180811564128,0.6566064258416494,0.0026041666666666297,0.7175925925925926,63,False
96542.8179679,1,5,Move,0.3589249402284622,0.6297297179698944,0.0015625000000000222,0.7194444444444444,63,False
96542.8960607,1,5,Move,0.37263017892837524,0.6392554740111033,0.12083333333333335,0.7055555555555556,63,False
96542.9539118,1,5,Move,0.37263017892837524,0.6392554740111033,0.19999999999999996,0.7018518518518518,63,False
96543.0184742,1,2,Deactivate,0.36665130654970807,0.5672181944052378,0.24739583333333337,0.7,63,False
96543.0954615,1,4,Grab,0.3233169267574946,0.5401715834935507,0.2723958333333333,0.6574074074074074,63,False
96543.1769908,1,4,Grab,0.3233169267574946,0.5401715834935507,0.26302083333333337,0.6166666666666667,63,False
96543.2577813,1,0,Activate,0.2894667536020279,0.5260320653518041,0.2572916666666667,0.5925925925925926,63,False
96543.3947767,1,0,Activate,0.2697008674343427,0.5248083025217056,0.234375,0.5703703703703704,63,True
96543.5259511,1,0,Activate,0.2554583524664243,0.5212396134932836,0.20937499999999998,0.5555555555555556,63,True
96543.6574802,1,0,Activate,0.3456362883249919,0.49196570614973706,0.18645833333333328,0.5444444444444444,63,True
96543.7918631,1,0,Activate,0.3456362883249919,0.49196570614973706,0.22395833333333337,0.5212962962962963,63,True
96543.9243993,1,5,Move,0.240078238149484,0.4888830731312434,0.24635416666666665,0.5074074074074074,63,True
96544.0573321,1,5,Move,0.21648000429073969,0.4639718482891719,0.19947916666666665,0.49722222222222223,63,True
96544.1881315,1,5,Move,0.20173174142837524,0.44240807990233105,0.15781250000000002,0.47685185185185186,63,True
96544.3333286,1,5,Move,0.27293455600738525,0.4463595300912857,0.1244791666666667,0.4527777777777778,63,True
96544.478352,1,5,Move,0.34310994545618695,0.4534246176481247,0.14531249999999996,0.44074074074074077,63,True
96544.6061441,1,5,Move,0.3725203524033229,0.4375109722216924,0.19791666666666663,0.43703703703703706,63,True
96544.7353702,1,5,Move,0.3364333013693492,0.40836552778879803,0.24635416666666665,0.42592592592592593,63,True
96544.8670001,1,5,Move,0.28486477335294086,0.4424329648415248,0.25468749999999996,0.4027777777777778,63,True
96545.0095708,1,5,Move,0.3074529767036438,0.51700559258461,0.23020833333333335,0.4083333333333333,63,True
96545.1538281,1,5,Move,0.3540957495570183,0.5485231031974157,0.22812500000000002,0.4546296296296296,63,True
96545.2823311,1,5,Move,0.3824099351962407,0.5116990258296331,0.25364583333333335,0.5,63,True
96545.4126767,1,5,Move,0.4071000615755717,0.4681882510582606,0.28541666666666665,0.5064814814814815,63,True
96545.5588449,1,5,Move,0.4138871083656947,0.4603215952714284,0.31875,0.48518518518518516,63,True
96545.705922,1,5,Move,0.41484417021274567,0.47562149663766223,0.3421875,0.4675925925925926,63,True
96545.8458083,1,5,Move,0.39468306799729663,0.4975080043077469,0.35677083333333337,0.46574074074074073,63,True
96545.989814,1,5,Move,0.3782025823990504,0.5115382472674052,0.35416666666666663,0.4777777777777778,63,True
96546.1336511,1,5,Move,0.3569452961285909,0.5189052472511927,0.3432291666666667,0.4925925925925926,63,True
96546.2645481,1,5,Move,0.33826807389656705,0.5196693887313207,0.32447916666666665,0.5055555555555555,63,True
96546.4079354,1,5,Move,0.33438777675231296,0.5441635300715765,0.3026041666666667,0.5138888888888888,63,True
96546.5402782,1,4,Grab,0.3398985266685486,0.5528152932723364,0.2869791666666667,0.5333333333333333,63,True
96546.8136141,1,4,Grab,0.3242945844928424,0.5385998686154684,0.2807291666666667,0.55,63,True
96546.9748595,1,4,Grab,0.3210841566324234,0.5427633176247278,0.26822916666666663,0.5518518518518518,63,True
96547.1350838,1,4,Grab,0.3270920664072037,0.5418283144632975,0.2588541666666667,0.5546296296296296,63,True
96547.2942474,1,5,Move,0.32793135195970535,0.5198564777771632,0.2567708333333333,0.5564814814814815,63,True
96547.5281886,1,5,Move,0.3441025068362554,0.5255663841962814,0.25625,0.5444444444444444,63,True
96547.68998,1,5,Move,0.35085463523864746,0.5236593882242838,0.2651041666666667,0.5407407407407407,63,True
96547.8414816,1,5,Move,0.35948768506447476,0.5212279260158539,0.2739583333333333,0.5370370370370371,63,True
96548.0016273,1,5,Move,0.3608577325940132,0.5223826865355173,0.28437500000000004,0.5333333333333333,63,True
96548.1633135,1,5,Move,0.36212965349356335,0.5269229014714559,0.29166666666666663,0.5324074074074074,63,True
96548.3240876,1,5,Move,0.3636810506383578,0.5263391236464182,0.2963541666666667,0.5342592592592592,63,True
96548.4795432,1,5,Move,0.3636810506383578,0.5263391236464182,0.30052083333333335,0.5351851851851852,63,True
96548.6231998,1,4,Grab,0.37412260969479877,0.5195395002762476,0.3026041666666667,0.5351851851851852,63,True
96548.8907565,1,4,Grab,0.3401353061199188,0.5292883813381195,0.30989583333333337,0.5314814814814814,63,True
96549.0433949,1,4,Grab,0.33753914137681323,0.5234004656473795,0.2947916666666667,0.5351851851851852,63,True
96549.2185195,1,4,Grab,0.31408735116322833,0.4963591496149699,0.28437500000000004,0.5342592592592592,63,True
96549.3708446,1,4,Grab,0.3030812193950017,0.48001961410045624,0.2645833333333333,0.5175925925925926,63,True
96549.5363951,1,4,Grab,0.29409994930028915,0.4541747023661931,0.24635416666666665,0.49907407407407406,63,True
96549.6952813,1,4,Grab,0.28422975291808444,0.416266068816185,0.23072916666666665,0.47314814814814815,63,True
96549.8564219,1,4,Grab,0.2923380509018898,0.38818677763144177,0.21562499999999996,0.4351851851851852,63,True
96550.0167859,1,4,Grab,0.2937675540645917,0.3861546069383621,0.2109375,0.3962962962962963,63,True
96550.1791946,1,4,Grab,0.29980607082446414,0.3945435086886088,0.20885416666666667,0.37222222222222223,63,True
96550.3339731,1,5,Move,0.2933194388945897,0.39480918149153393,0.2109375,0.362962962962963,63,True
96550.5748828,1,5,Move,0.2959059377511342,0.4063698599735896,0.20885416666666667,0.3574074074074074,63,True
96550.7164432,1,5,Move,0.2969685172041257,0.41618650158246356,0.20885416666666667,0.36018518518518516,63,True
96550.8459669,1,5,Move,0.2969241787989934,0.4369567135969798,0.20989583333333328,0.3675925925925926,63,True
96550.9905875,1,5,Move,0.29793335994084674,0.45558372636636096,0.20989583333333328,0.38425925925925924,63,True
96551.133845,1,5,Move,0.3283749570449193,0.4813903868198395,0.2109375,0.4046296296296296,63,True
96551.2621149,1,5,Move,0.3322358305255572,0.4830285608768463,0.22864583333333333,0.43148148148148147,63,True
96551.3921245,1,5,Move,0.34227195878823596,0.47161561747392017,0.2416666666666667,0.44814814814814813,63,True
96551.5359933,1,5,Move,0.35938357065121335,0.47070681552092236,0.25520833333333337,0.45185185185185184,63,True
96551.6641541,1,5,Move,0.35517897456884384,0.4675851861635844,0.2729166666666667,0.4537037037037037,63,True
96551.7967879,1,5,Move,0.3409375324845314,0.460634966691335,0.28125,0.4527777777777778,63,True
96551.9389072,1,5,Move,0.3069027786453565,0.4787604510784149,0.27812499999999996,0.44907407407407407,63,True
96552.084651,1,5,Move,0.30277105172475177,0.5006813158591589,0.2567708333333333,0.4564814814814815,63,True
96552.2272607,1,5,Move,0.28816910336414975,0.5756680270036062,0.2416666666666667,0.4740740740740741,63,True
96552.3731976,1,5,Move,0.28816910336414975,0.5756680270036062,0.22395833333333337,0.5268518518518519,63,True
96552.5219976,1,5,Move,0.28816910336414975,0.5756680270036062,0.21354166666666663,0.5583333333333333,63,True
96552.660735,1,5,Move,0.28816910336414975,0.5756680270036062,0.20729166666666665,0.5777777777777777,63,True
96552.7889439,1,5,Move,0.28816910336414975,0.5756680270036062,0.2036458333333333,0.5888888888888889,63,True
96552.9206241,1,5,Move,0.28816910336414975,0.5756680270036062,0.20156249999999998,0.5962962962962963,63,True
96553.0617875,1,5,Move,0.28816910336414975,0.5756680270036062,0.19999999999999996,0.6,63,True
