frame,dt_frame,t_capture,t_mediapipe,t_normalize,t_predict,t_mouse,t_total
55,0.08138180000059947,0.002447299999403185,0.036310400000729715,3.35000004270114e-05,0.0010959999999613501,0.10037249999913911,0.14139649999924586
56,0.1567403999997623,0.0024651999992784113,0.02255659999900672,2.5000001187436283e-05,0.001329899998381734,0.10048269999970216,0.12839510000048904
57,0.13369199999942794,0.002394199998889235,0.02093299999978626,2.350000067963265e-05,0.0011847999994643033,0.10056110000004992,0.12644580000051064
58,0.13331529999959457,0.0016439000009995652,0.022732999999789172,1.700000029813964e-05,0.0010825000008480856,0.1004425999999512,0.12710750000042026
59,0.13314600000012433,0.0017459000009694137,0.023273699998753727,1.720000000204891e-05,0.00109359999987646,0.10054739999941376,0.1278639000011026
60,0.13366140000107407,0.001734200001010322,0.021500599999853875,2.519999907235615e-05,0.0012664000005315756,0.10060209999937797,0.12665179999930842
61,0.13316139999915322,0.0017411000007996336,0.022329800000079558,2.4800001483527012e-05,0.0010806000009324634,0.10035149999930582,0.12668959999973595
62,0.1330072000000655,0.002520399999411893,0.02192749999994703,2.1899999410379678e-05,0.0010686000005080132,0.10037080000074639,0.12700709999990067
63,0.1446285000001808,0.002470800000082818,0.022540899999512476,2.4700000722077675e-05,0.0010784999994939426,0.10054029999992053,0.1278519999996206
64,0.14517680000062683,0.0029288000005180947,0.020820400000957306,2.5499999537714757e-05,0.0010772999994514976,0.10055479999937234,0.12653279999904044
65,0.12969239999983984,0.0015130000010685762,0.021263599999656435,1.7700000171316788e-05,0.0011840000006486662,0.10042380000049889,0.12611950000064098
66,0.14393989999916812,0.0023922000000311527,0.020407699999850593,1.7700000171316788e-05,0.0010607000003801659,0.10037460000057763,0.12541390000114916
67,0.12895920000119077,0.002362199998970027,0.024057599999650847,4.839999928663019e-05,0.001828899999964051,0.10070509999968635,0.13029439999991155
68,0.14504699999997683,0.0023617999995622085,0.02009390000057465,2.479999966453761e-05,0.0011527000006026356,0.10057739999865589,0.12553889999981038
69,0.12922179999986838,0.0025366000008943956,0.021242400000119233,2.9200000426499173e-05,0.0011694999993778765,0.10053890000017418,0.12661579999985406
70,0.14423299999907613,0.0023807999987184303,0.021274999999150168,2.6300000172341242e-05,0.0011101000000053318,0.10039670000151091,0.12632660000053875
71,0.14381950000097277,0.002385800000411109,0.020821400001295842,1.650000012887176e-05,0.0011334999999235151,0.10042630000134523,0.12596560000019963
72,0.14428640000005544,0.0023909999999887077,0.01973760000146285,2.3599999622092582e-05,0.0012014000003546244,0.10047859999940556,0.12522050000006857
73,0.1288297999999486,0.0023646000008739065,0.02195949999986624,1.5499999790336005e-05,0.0011338000003888737,0.1007551999991847,0.12747440000021015
74,0.1451020000004064,0.0024109000005410053,0.020782300000064424,2.069999936793465e-05,0.0011392999986128416,0.10065399999984947,0.12621029999900202
